employer,careers_url,regions,typical_clusters,confidence,notes
Hamilton Health Sciences,https://www.hamiltonhealthsciences.ca/careers/,Hamilton,"Food Service|Custodial|Personal Care/PSW|Security|Admin",high,
St. Joseph's Healthcare Hamilton,https://www.stjoes.ca/careers,Hamilton,"Food Service|Custodial|Personal Care/PSW|Security|Admin",high,
ArcelorMittal Dofasco,https://dofasco.arcelormittal.com/careers/,Hamilton,"General Labour|Manufacturing/Production|Warehouse/Logistics",medium,URL may redirect to corporate ArcelorMittal portal
Stelco,https://www.stelco.com/careers,Hamilton,"General Labour|Manufacturing/Production",high,
McMaster University,https://hr.mcmaster.ca/careers/,Hamilton,"Food Service|Custodial|Admin/Reception|Landscaping/Grounds",high,
Mohawk College,https://www.mohawkcollege.ca/about-mohawk/careers-at-mohawk,Hamilton,"Food Service|Custodial|Admin/Reception",medium,
City of Hamilton,https://www.hamilton.ca/city-council/jobs-city,Hamilton,"General Labour|Landscaping/Grounds|Admin/Reception|Driving/Delivery",medium,
Hamilton-Wentworth DSB,https://www.hwdsb.on.ca/careers/,Hamilton,"Custodial|Admin/Reception|Food Service",high,Some postings route through Apply to Education
Niagara Health System,https://www.niagarahealth.on.ca/site/careers,Niagara,"Food Service|Custodial|Personal Care/PSW|Security|Admin/Reception",high,
Fallsview Casino Resort,https://fallsviewcasinoresort.com/about-us/careers,Niagara,"Food Service|Custodial|Security|Admin/Reception",low,Operator transitioned to Mohegan - may redirect
Casino Niagara,https://casinoniagara.com/careers/,Niagara,"Food Service|Custodial|Security",low,Same operator as Fallsview
Niagara Parks Commission,https://www.niagaraparks.com/careers/,Niagara,"Food Service|Landscaping/Grounds|General Labour|Retail/Cashier",high,Heavy seasonal hiring
General Motors St. Catharines,https://search-careers.gm.com/,Niagara,"General Labour|Manufacturing/Production",high,Filter by St. Catharines location
Brock University,https://brocku.ca/human-resources/career-opportunities/,Niagara,"Food Service|Custodial|Admin/Reception|Landscaping/Grounds",medium,
Niagara College,https://www.niagaracollege.ca/about/work-at-the-college/,Niagara,"Food Service|Custodial|Admin/Reception",medium,
Andrew Peller Ltd.,https://www.andrewpeller.com/en/careers,Niagara,"Food Service|General Labour|Manufacturing/Production",medium,Owns multiple wine brands
Arterra Wines Canada,https://arterrawines.com/careers/,Niagara,"General Labour|Manufacturing/Production",medium,Owns Jackson-Triggs and Inniskillin
District School Board of Niagara,https://www.dsbn.org/careers,Niagara,"Custodial|Admin/Reception|Food Service",high,
City of St. Catharines,https://www.stcatharines.ca/en/cityhall/Career-Opportunities.aspx,Niagara,"General Labour|Landscaping/Grounds|Admin/Reception",medium,
City of Niagara Falls,https://niagarafalls.ca/city-hall/jobs/,Niagara,"General Labour|Landscaping/Grounds|Admin/Reception",medium,
Brant Community Healthcare System,https://www.bchsys.org/careers,Brantford,"Food Service|Custodial|Personal Care/PSW|Admin/Reception",medium,
Ferrero Canada,https://www.ferrerocareers.com/north-america,Brantford,"General Labour|Manufacturing/Production|Warehouse/Logistics",medium,Brantford plant
S.C. Johnson,https://www.scjohnson.com/en/our-purpose/who-we-are/careers,Brantford,"General Labour|Manufacturing/Production|Warehouse/Logistics",medium,Brantford plant - careers landing redirects to Workday
OLG Casino Brantford,https://www.greatcanadian.com/careers/,Brantford,"Food Service|Custodial|Security|Admin/Reception",medium,Operated by Great Canadian Entertainment
Wilfrid Laurier University (Brantford),https://www.wlu.ca/careers/,Brantford,"Food Service|Custodial|Admin/Reception",medium,Filter by Brantford campus
Conestoga College,https://www.conestogac.on.ca/employment,Brantford,"Food Service|Custodial|Admin/Reception",medium,Filter by Brantford campus
City of Brantford,https://www.brantford.ca/en/city-hall/employment.aspx,Brantford,"General Labour|Landscaping/Grounds|Admin/Reception",medium,
Grand Erie DSB,https://www.granderie.ca/board/careers,Brantford|Haldimand-Norfolk,"Custodial|Admin/Reception|Food Service",medium,Covers Brantford and Haldimand-Norfolk
Norfolk General Hospital,https://www.ngh.on.ca/careers/,Haldimand-Norfolk,"Food Service|Custodial|Personal Care/PSW|Admin/Reception",medium,
Haldimand War Memorial Hospital,https://www.hnhbhealthline.ca,Haldimand-Norfolk,"Food Service|Custodial|Personal Care/PSW|Admin/Reception",low,May post via regional health network - needs verification
Norfolk County,https://www.norfolkcounty.ca/business/employment/,Haldimand-Norfolk,"General Labour|Landscaping/Grounds|Admin/Reception",high,
Haldimand County,https://www.haldimandcounty.ca/government/careers/,Haldimand-Norfolk,"General Labour|Landscaping/Grounds|Admin/Reception",high,
Toyotetsu Canada,https://www.ttcamfg.com/careers,Haldimand-Norfolk,"General Labour|Manufacturing/Production|Warehouse/Logistics",medium,Simcoe plant
Scotlynn Group,https://www.scotlynn.com/careers/,Haldimand-Norfolk,"Driving/Delivery|Warehouse/Logistics|General Labour",high,Vanessa ON
Schuyler Farms,https://schuylerfarms.com,Haldimand-Norfolk,"General Labour",low,May not have formal careers page - applications likely manual
Halton Healthcare,https://www.haltonhealthcare.com/careers,Halton,"Food Service|Custodial|Personal Care/PSW|Security|Admin/Reception",high,Covers Oakville Trafalgar, Milton District, Georgetown
Joseph Brant Hospital,https://www.josephbranthospital.ca/careers/,Halton,"Food Service|Custodial|Personal Care/PSW|Security|Admin/Reception",medium,Burlington
Ford Motor Company (Oakville Assembly),https://corporate.ford.com/careers.html,Halton,"General Labour|Manufacturing/Production",high,Filter by Oakville location
Tim Hortons,https://www.timhortons.ca/careers,Halton,"Food Service|Admin/Reception",high,HQ Oakville plus store hiring
Sheridan College,https://www.sheridancollege.ca/about/leadership-and-administration/employment-at-sheridan,Halton,"Food Service|Custodial|Admin/Reception|Landscaping/Grounds",medium,Oakville and Brampton campuses
Halton Region,https://www.halton.ca/For-Residents/Employment-Volunteer,Halton,"General Labour|Landscaping/Grounds|Admin/Reception",high,
Halton DSB,https://www.hdsb.ca/our-board/Pages/Careers.aspx,Halton,"Custodial|Admin/Reception|Food Service",medium,
Halton Catholic DSB,https://www.hcdsb.org/careers,Halton,"Custodial|Admin/Reception|Food Service",medium,
Cogeco,https://corpo.cogeco.com/cgo/en/about-us/careers/,Halton,"Admin/Reception",medium,Burlington office - call centre and admin roles
Mattamy Homes,https://mattamyhomes.com/careers/,Halton,"Skilled Trades|Admin/Reception",medium,Oakville HQ
Walmart Canada,https://careers.walmart.ca,Hamilton|Niagara|Brantford|Haldimand-Norfolk|Halton,"Retail/Cashier|Warehouse/Logistics|Custodial|General Labour",high,Filter by city
Costco Canada,https://www.costco.ca/careers.html,Hamilton|Niagara|Halton,"Retail/Cashier|Warehouse/Logistics|Food Service",high,No locations in Brantford/Haldimand-Norfolk
Canadian Tire,https://corp.canadiantire.ca/our-company/careers/,Hamilton|Niagara|Brantford|Haldimand-Norfolk|Halton,"Retail/Cashier|Warehouse/Logistics|Admin/Reception",medium,Corporate page - many positions via store-level hiring
Loblaw Companies (Fortinos/No Frills/Loblaws),https://www.loblaw.ca/en/careers/,Hamilton|Niagara|Brantford|Haldimand-Norfolk|Halton,"Retail/Cashier|Food Service|General Labour",high,Includes Fortinos, No Frills, Loblaws, Real Canadian Superstore
IKEA Burlington,https://www.ikea.com/ca/en/this-is-ikea/work-with-us/,Halton,"Retail/Cashier|Warehouse/Logistics|Food Service",high,Single Burlington store
Marriott (Niagara Falls),https://careers.marriott.com,Niagara,"Food Service|Custodial",high,Filter by Niagara Falls location
Hilton (Niagara Falls),https://jobs.hilton.com,Niagara,"Food Service|Custodial",high,Filter by Niagara Falls location
